Algorithm,Run,Goodput_Mbps,PLR_Percent
CUBIC,1,0.1724,0.4240324892498806
CUBIC,2,0.1724,0.4240324892498806
CUBIC,3,0.1724,0.4240324892498806
CUBIC,4,0.1724,0.4240324892498806
CUBIC,5,0.1724,0.4240324892498806
RENO,1,0.10872,0.11636662331439523
RENO,2,0.10872,0.11636662331439523
RENO,3,0.10872,0.11636662331439523
RENO,4,0.10872,0.11636662331439523
RENO,5,0.10872,0.11636662331439523
YEAH,1,0.21424,0.07334963325183375
YEAH,2,0.21424,0.07334963325183375
YEAH,3,0.21424,0.07334963325183375
YEAH,4,0.21424,0.07334963325183375
YEAH,5,0.21424,0.07334963325183375
VEGAS,1,0.04168,0.1165307141668054
VEGAS,2,0.04168,0.1165307141668054
VEGAS,3,0.04168,0.1165307141668054
VEGAS,4,0.04168,0.1165307141668054
VEGAS,5,0.04168,0.1165307141668054
