TCP_Algorithm,Random_Seed,Run_Number,Goodput_Mbps,PLR_Percent
CUBIC,12345,1,0.2556,0.6001
CUBIC,23456,2,0.248,0.5468
CUBIC,34567,3,0.2619,0.6446
CUBIC,45678,4,0.249,0.6472
CUBIC,56789,5,0.2562,0.6736
RENO,12345,1,0.1018,0.216
RENO,23456,2,0.0986,0.2259
RENO,34567,3,0.0934,0.2348
RENO,45678,4,0.0903,0.2425
RENO,56789,5,0.0903,0.2514
YEAH,12345,1,0.2033,0.137
YEAH,23456,2,0.2033,0.1406
YEAH,34567,3,0.1953,0.1454
YEAH,45678,4,0.1895,0.1468
YEAH,56789,5,0.1838,0.1525
VEGAS,12345,1,0.0398,0.2313
VEGAS,23456,2,0.0378,0.2435
VEGAS,34567,3,0.0377,0.2519
VEGAS,45678,4,0.0358,0.2603
VEGAS,56789,5,0.0341,0.27
